id,source_x,title,doi,license,abstract,publish_time,journal,url,volume,issue,start_page,end_page,subject_class
81,AMC,Recent trends and future directions in vertex-transitive graphs,10.26493/1855-3974.81.679,CC BY 4.0,"A graph is said to be <em>vertex-transitive</em> if its automorphism group acts transitively on the vertex set. Some recent developments and possible future directions regarding two famous open problems, asking about existence of Hamilton paths and existence of semiregular automorphisms in vertex-transitive graphs, are discussed, together with some recent results on arc-transitive graphs and half-arc-transitive graphs, two special classes of vertex-transitive graphs that have received particular attention over the last decade.",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/81,1,2,112,125,05C25;20B25
83,AMC,What is Ars Mathematica Contemporanea?,NA,CC BY 4.0,NA,2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/83,1,1,NA,NA,NA
26,AMC,Hypercube embedding of Wythoffians,10.26493/1855-3974.26.6c7,CC BY 4.0,"The Wythoff construction takes a d-dimensional polytope P, a subset S of {0, ..., d} and returns another d-dimensional polytope P(S). If P is a regular polytope, then P(S) is vertex-transitive. This construction builds a large part of the Archimedean polytopes and tilings in dimension 3 and 4. We want to determine, which of those Wythoffians P(S) with regular P have their skeleton or dual skeleton isometrically embeddable into the hypercubes H<sub>m</sub> and half-cubes 1/2 H<sub>m</sub>. We find six infinite series, which, we conjecture, cover all cases for dimension d &gt; 5 and some sporadic cases in dimension 3 and 4 (see Tables 1 and 2). Three out of those six infinite series are explained by a general result about the embedding of Wythoff construction for Coxeter groups. In the last section, we consider the Euclidean case; also, zonotopality of embeddable P(S) are addressed throughout the text.",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/26,1,1,99,111,20F55
11,AMC,Some star complements for the second largest eigenvalue of a graph,10.26493/1855-3974.11.d83,CC BY 4.0,"The star complement technique is a spectral tool recently developed for constructing some bigger graphs from their smaller parts, called star complements. The most frequently, the implementation of those technique requires using the computers. Therefrom, we develop an SCL (star complement library) – the set of programs providing easy and quick implementation of those technique. Here, we present the facilities of SCL. In further, we determine some star complements for 1 or (√5 – 1)/2 as the second largest eigenvalue of a graph. Finally, using the SCL, we consider the maximal extensions of the star complements obtained.",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/11,1,2,126,136,05C50;68T35
25,AMC,Some of my favorite “lesser known” problems,10.26493/1855-3974.25.7bd,CC BY 4.0,<p>Some problems become famous and attract attention while others collect dust on the shelf. Large conferences are a great breeding ground for popularizing both old and new problems. In this note we present some off the shelf problems.<br /> </p><p> </p>,2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/25,1,2,137,143,NA
91,AMC,"Cayley graphs, Cori hypermaps, and dessins d'enfants",10.26493/1855-3974.91.30f,CC BY 4.0,"This paper explains some facts probably known to experts and implicitely contained in the literature about dessins d'enfants but which seem to be nowhere explicitely stated. The 1-skeleton of every regular Cori hypermap is the Cayley graph of its automorphism group, embedded in the underlying orientable surface. Conversely, every Cayley graph of a finite two-generator group has an embedding as the 1-skeleton of a regular hypermap in the Cori representation. For non-regular hypermaps there is an analogous correspondence with Schreier coset diagrams.",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/91,1,2,144,153,20F65;05C25;05C65;30F35
31,AMC,Small label classes in 2-distinguishing labelings,10.26493/1855-3974.31.d93,CC BY 4.0,"A graph <em>G</em> is said to be 2<em>-distinguishable</em> if there is a labeling of the vertices with two labels so that only the trivial automorphism preserves the labels. Call the minimum size of a label class in such a labeling of <em>G</em> the <em>cost of </em>2<em>-distinguishing <em>G</em></em> and denote it by <em>ρ</em>(<em>G</em>). This paper shows that for <em>n</em> ≥ 5, ⌈log<sub>2</sub> <em>n</em> ⌉ + 1 ≤ <em>ρ</em>(<em>Q</em><sub><em>n</em></sub>) ≤ 2⌈log<sub>2</sub><em>n</em>⌉ − 1, where <em>Q</em><sub><em>n</em></sub> is the hypercube of dimension <em>n</em>.",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/31,1,2,154,164,05C15;05C25
80,AMC,A note on transitive permutation groups of degree twice a prime,10.26493/1855-3974.80.880,CC BY 4.0,"In this note, we consider transitive permutation groups of degree 2<em>p</em>, where <em>p</em> is an odd prime, that admit blocks of imprimitivity of size 2 but no blocks of imprimitivity of size <em>p</em>.",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/80,1,2,165,168,20B05
49,AMC,Relating embedding and coloring properties of snarks,10.26493/1855-3974.49.b88,CC BY 4.0,"<p>In 1969, Grünbaum conjectured that snarks do not have polyhedral embeddings into orientable surfaces. We define the defect of a graph and use it to study embeddings of superpositions of cubic graphs into orientable surfaces. Superposition was introduced by Kochol to construct snarks with arbitrary large girth. It is shown that snarks constructed by Kochol do not have polyhedral embeddings into orientable surfaces. For each <em>k</em> = 2 we construct infinitely many snarks with defect precisely <em>k</em>. We then relate the defect with the resistance <em>r</em>(<em>G</em>) of a cubic graph <em>G</em> which is the size of a minimum color class of a 4-edge-coloring of <em>G</em>. These results are then extended to deal with some weaker versions of the Grünbaum Conjecture.</p>",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/49,1,2,169,184,05C10;05C15
79,AMC,Cayley graphs and symmetric 4-polytopes,10.26493/1855-3974.79.919,CC BY 4.0,"Previously we have investigated the medial layer graph $\\mathcal{G}$ for a finite, self-dual, regular or chiral abstract 4-polytope $\\mathcal{P}$. Here we study the Cayley graph $\\mathcal{C}$ on a natural group generated by polarities of $\\mathcal{P}$, show that $\\mathcal{C}$ covers $\\mathcal{G}$ in a readily computable way and construct $\\mathcal{C}$ as a voltage graph over $\\mathcal{G}$. We then examine such symmetric graphs for several interesting families of polytopes of type {<em>p</em>,<em>q</em>,<em>p</em>}, <em>p</em> = 3, 4, 5.",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/79,1,2,185,205,05C25;51M20
69,AMC,Omittable lines,10.26493/1855-3974.69.cc6,CC BY 4.0,"Given a collection of <em>n</em> lines in the real projective plane, a line $\\ell$ is said to be <em>omittable</em> if $\\ell$ is free of ordinary points of intersection---in other words, if all the intersection points of $\\ell$ with other lines from the collection come at the intersection of three or more lines. Given a collection of lines $\\mathcal{L}$, denoting by $\\mathcal{O(L)}$ the set of all omittable lines in the collection and by $g(\\mathcal{L})$ the cardinality of $\\mathcal{O(L)}$, we describe three infinite families of lines that can serve as $\\mathcal{O(L)}$ for suitable $\\mathcal{L}$ and also display a finite set of sporadic additional examples in which $\\mathcal{O(L)}$ does not fall into any of the three families. We derive bounds on the size of $g(\\mathcal{L})$ when $\\mathcal{O(L)}$ falls into one of the three infinite families and weaker bounds for the more general case.",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/69,1,2,206,222,52C30;52C99
50,AMC,Injectivity radius of representations of triangle groups and planar width of regular hypermaps,10.26493/1855-3974.50.b13,CC BY 4.0,"<p> We develop a rigorous algebraic background for representations of triangle groups in linear groups over algebras arising from factor rings of multivariate polynomial rings. This is then used to substantially improve the existing upper bounds on the order of epimorphic images of triangle groups with a given injectivity radius and, analogously, the size of the associated hypermaps of a given type with a given planar width.</p><p> </p>",2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/50,1,2,223,241,05C10;05C25;05C65;05E99;20C99
96,AMC,The easy part?,NA,CC BY 4.0,NA,2008-08-22T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/96,1,2,NA,NA,NA
88,AMC,A catalogue of simplicial arrangements in the real projective plane,10.26493/1855-3974.88.e12,CC BY 4.0,"An <span class=""Apple-style-span"" style=""font-style: italic;"">arrangement</span> is the complex generated in the real projective plane by a finite family of straight lines that do not form a pencil. The <span class=""Apple-style-span"" style=""font-style: italic;"">faces</span> of an arrangement are the connected components of the complement of the union of lines. An arrangement is <span class=""Apple-style-span"" style=""font-style: italic;"">simplicial</span> if all its faces are simplices (triangles). The present paper updates the only previous catalogue of simplicial arrangements, published almost 40 years ago, and presented in a very condensed form. The simplicial arrangements often provide optimal solutions for various problems. A problem that seems very hard is to decide whether the collection presented here is a complete listing of simplicial arrangements.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/88,2,1,1,25,51M16
72,AMC,Characterizing posets for which their natural transit functions coincide,10.26493/1855-3974.72.9d1,CC BY 4.0,"The standard poset transit function of a poset <em>P</em> is a function <em>T<sub>P</sub></em> that assigns to a pair of comparable elements the interval between them, while <em>T<sub>P</sub></em>(<em>x</em>,<em>y</em>) = {<em>x</em>,<em>y</em>} for a pair <em>x</em>, <em>y</em> of incomparable elements. Posets in which the standard poset transit function coincides with the shortest-path transit function of its cover-incomparability graph are characterized in three ways, in particular with forbidden subposets.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/72,2,1,27,33,05C12;05C62;06A07
93,AMC,Large sets of long distance equienergetic graphs,10.26493/1855-3974.93.e75,CC BY 4.0,"Distance energy of a graph is a recent energy-type invariant, defined as the absolute deviation of the eigenvalues of the distance matrix of the graph. Two graphs of the same order are said to be distance equienergetic if they have equal distance energy, while they have distinct spectra of their distance matrices. Examples of pairs of distance equienergetic graphs appear in the literature already, but most of them have diameter two only.<br />We describe here the distance spectrum of a special composition of regular graphs, and, as an application, we show that for any <em>n</em> ≥ 3, there exists a set of <em>n</em> + 1 distance equienergetic graphs which have order 6<em>n</em> and diameter <em>n</em> − 1 each.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/93,2,1,35,40,05C50
75,AMC,The strongly distance-balanced property of the generalized Petersen graphs,10.26493/1855-3974.75.895,CC BY 4.0,"A graph <em>X</em> is said to be <em>strongly distance-balanced</em> whenever for any edge <em>uv</em> of <em>X</em> and any positive integer <em>i</em>, the number of vertices at distance <em>i</em> from <em>u</em> and at distance <em>i</em> + 1 from <em>v</em> is equal to the number of vertices at distance <em>i</em> + 1 from <em>u</em> and at distance <em>i</em> from <em>v</em>. It is proven that for any integers <em>k</em> ≥ 2 and <em>n</em> ≥ <em>k</em><sup>2</sup> + 4<em>k</em> + 1, the generalized Petersen graph GP(<em>n</em>, <em>k</em>) is not strongly distance-balanced.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/75,2,1,41,47,05C07;05C12
68,AMC,Edge-contributions of some topological indices and arboreality of molecular graphs,10.26493/1855-3974.68.51b,CC BY 4.0,"Some graph invariants can be computed by summing certain values, called <em>edge-contributions</em> over all edges of graphs. In this note we use edge-contributions to study relationships among three graph invariants, also known as topological indices in mathematical chemistry: Wiener index, Szeged index and recently introduced revised Szeged index. We also use the quotient between the Wiener index and the revised Szeged index to study tree-likeness of graphs.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/68,2,1,49,58,05C19;05C90
70,AMC,On overgroups of regular abelian p-groups,10.26493/1855-3974.70.960,CC BY 4.0,"Let <em>G</em> be a transitive group of odd prime-power degree whose Sylow <em>p</em>-subgroup <em>P</em> is abelian with <em>t</em> elementary divisors. We show that if <em>p</em> &gt; 2<sup><em>t</em> − 1</sup>, then <em>G</em> has a normal subgroup that is a direct product of <em>t</em> permutation groups of smaller degree that are either cyclic or doubly-transitive simple groups. As a consequence, we determine the full automorphism group of a Cayley digraph of an abelian group with two elementary divisors such that the Sylow <em>p</em>-subgroup of the full automorphism group is abelian.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/70,2,1,59,76,20B10;20B25
37,AMC,Vulnerability bounds on the number of spanning tree leaves,10.26493/1855-3974.37.5b9,CC BY 4.0,"Hamiltonicity and vulnerability of graphs are in a strong connection. A basic necessary condition states that a graph containing a 2-leaf spanning tree (that is a Hamiltonian path) cannot be split into more than <em>k</em> + 1 components by deleting <em>k</em> of its vertices. In this paper we consider a more general approach and investigate the connection between the number of spanning tree leaves and two vulnerability parameters namely scattering number sc(<em>G</em>) and cut-asymmetry ca(<em>G</em>). We prove that any spanning tree of a graph <em>G</em> has at least sc(<em>G</em>) + 1 leaves. We also show that if <em>X </em>$\\subset$ <em>V</em> is a maximum cardinality independent set of <em>G </em>= (<em>V</em>, <em>E</em>) such that the elements of <em>X</em> are all leaves of a particular spanning tree then |<em>X</em>| = ca(<em>G</em>) + 1 = |<em>V</em>| − cvc(<em>G</em>), where cvc(<em>G</em>) is the size of a minimum connected vertex cover of <em>G</em>. As a consequence we obtain a new proof for the following results: any spanning tree with independent leaves provides a 2-approximation for both MaximumInternalSpanningTree and MinimumConnectedVertexCover problems. We also consider the opposite point of view by fixing the number of leaves to <em>q</em> and looking for a <em>q</em>-leaf subtree of <em>G</em> that spans a maximum number of vertices. Bermond proved that a 2-connected graph on <em>n</em> vertices always contains a path (a 2-leaf subtree) of length min {n,δ<sub>2</sub>}, where δ<sub>2</sub> is the minimum degree-sum of a 2-element independent set. We generalize this result to obtain a sufficient condition for the existence of a large <em>q</em>-leaf subtree.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/37,2,1,77,92,05C38;05C85
103,AMC,Distance spectrum of graph compositions,10.26493/1855-3974.103.e09,CC BY 4.0,"The <em>D</em>-eigenvalues <em>μ</em><sub>1</sub>, <em>μ</em><sub>2</sub>, ..., <em>μ</em><sub>p</sub> of a graph <em>G</em> are the eigenvalues of its distance matrix <em>D</em> and form the distance spectrum or the <em>D</em>-spectrum.  In this paper we obtain the <em>D</em>-spectrum of the cartesian product if two distance regular graphs. The <em>D</em>-spectrum of the lexicographic product <em>G</em>[<em>H</em>] of two graphs <em>G</em> and <em>H</em> when <em>H</em> is regular is also obtained. The <em>D</em>-eigenvalues of the Hamming graphs Ham(<em>d,</em> <em>n</em>) of diameter <em>d</em> and order <em>n</em><sup><em>d</em></sup> and those of the <em>C</em><sub>4</sub> nanotori, <em>T</em><sub><em>k</em>,<em>m</em>,<em>C</em><sub>4</sub></sub>, are determined.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/103,2,1,93,100,05C12;05C50
77,AMC,Minimum cycle bases of direct products of graphs with cycles,10.26493/1855-3974.77.3d2,CC BY 4.0,We construct a minimum cycle basis for the direct product <em>G </em><em>×</em><em> C</em><sub><em>q </em></sub>where <em>G</em> is a connected non-bipartite graph and <em>C</em><sub><em>q</em></sub> is an odd cycle. These bases are expressed in terms of the cycle structure of the symmetric digraph on <em>G</em>.,2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/77,2,1,101,119,05C38
46,AMC,Deciding the deterministic property for soliton graphs,10.26493/1855-3974.46.b2f,CC BY 4.0,"Soliton automata are a graph theoretic model for electronic switching at the molecular level. In the design of soliton circuits, the deterministic property of the corresponding automata is of primary importance. The underlying graphs of such automata, called deterministic soliton graphs, are characterized in terms of graphs not having even-length cycles and graphs having a unique perfect matching. On the basis of this characterization, a modification of the currently most efficient unique perfect matching algorithm is worked out to decide in <em>O</em>(<em>m</em> log<sup>4</sup> <em>n</em>) time if a graph with <em>n</em> vertices and <em>m</em> edges defines a deterministic soliton automaton. A yet more efficient <em>O</em>(<em>m</em>) algorithm is given for the special case of chestnut and elementary soliton graphs. All of these algorithms are capable of constructing a state for the corresponding soliton automaton, and the general algorithm can also be used to simplify the automaton to an isomorphic elementary one.",2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/46,2,1,121,136,05C70
105,AMC,On the cover of this journal,NA,CC BY 4.0,NA,2009-01-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/105,2,1,NA,NA,NA
109,AMC,Strongly regular edge-transitive graphs,10.26493/1855-3974.109.97f,CC BY 4.0,"<p>In this paper, we examine the structure of vertex- and edge-transitive strongly regular graphs, using normal quotient reduction. We show that the irreducible graphs in this family have quasiprimitive automorphism groups, and prove (using the Classiﬁcation of Finite Simple Groups) that no graph in this family has a holomorphic simple automorphism group. We also ﬁnd some constraints on the parameters of the graphs in this family that reduce to complete graphs.</p>",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/109,2,2,137,155,05C25
21,AMC,The genus crossing number,10.26493/1855-3974.21.157,CC BY 4.0,"<p>Pach and Tóth [PT] introduced a new version of the crossing number parameter, called the degenerate crossing number, by considering proper drawings of a graph in the plane and counting multiple crossing of edges through the same point as a single crossing when all pairwise crossings of edges at that point are transversal. We propose a related parameter, called the genus crossing number, where edges in the drawing need not be represented by simple arcs. This relaxation has two important advantages. First, the genus crossing number is invariant under taking subdivisions of edges and is also a minor-monotone graph invariant. Secondly, it is “computable” in many instances, which is a rare phenomenon in the theory of crossing numbers. These facts follow from the proof that the genus crossing number is indeed equal to the non-orientable genus of the graph. It remains an open question if the genus crossing number can be strictly smaller than the degenerate crossing number of Pach and Tóth. A relation to the minor crossing number introduced by Bokal, Fijavž, and Mohar [BFM] is also discussed.</p><p>[BFM] D. Bokal, G. Fijavž, and B. Mohar, The minor crossing number, <em>SIAM J. Discrete Math.</em> <strong>20</strong> (2006), 344–356.<br />[PT] J. Pach, G. Tóth, Degenerate crossing numbers, submitted, 2006.</p>",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/21,2,2,157,162,05C10
102,AMC,Polytopes with groups of type PGL_2(q),10.26493/1855-3974.102.290,CC BY 4.0,"There exists a unique regular polytope of rank at least 4 whose full automorphism group is a projective general linear group PGL<sub>2</sub>(<em>q</em>), <em>q</em> a prime power. This polytope is the 4-simplex and the corresponding group is PGL<sub>2</sub>(5) = S<sub>5</sub>.",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/102,2,2,163,171,51M20;20B25
52,AMC,"Counting edge-transitive, one-ended, three-connected planar maps with a given growth rate",10.26493/1855-3974.52.121,CC BY 4.0,"B. Grünbaum and G. C. Shephard have classified one-ended, 3-connected, planar, edge-transitive maps. It turns out that each of these maps can be described uniquely by an edge-symbol ‹<em>p</em>, <em>q</em>; <em>k</em>, ℓ›. Recently the growth rate of each of these maps has been determined by S. Graves, T. Pisanski and M. E. Watkins. We determine the number of edge-transitive maps for a given growth rate.",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/52,2,2,173,180,05C30
98,AMC,On the number of connected and disconnected coverings over a manifold,10.26493/1855-3974.98.ecc,CC BY 4.0,A general formula is obtained for the number of non-equivalent coverings (possibly disconnected) over a connected manifold with an arbitrary finitely generated fundamental group. Some illustrative examples are considered.,2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/98,2,2,181,189,57M10;20F34;05A15;14H30
114,AMC,On Cartesian skeletons of graphs,10.26493/1855-3974.114.4bb,CC BY 4.0,"Under suitable conditions of connectivity or non-bipartiteness, each of the three standard graph products (the Cartesian product, the direct product and the strong product) satisfies the unique prime factorization property, and there are polynomial algorithms to determine the prime factors. This is most easily proved for the Cartesian product. For the other products, current proofs involve a notion of a <em>Cartesian skeleton</em> which transfers their multiplication properties to the Cartesian product. The present article introduces simplified definitions of Cartesian skeletons for the direct and strong products, and provides new, fast and transparent algorithms for their construction. Since the complexity of the prime factorization of the direct and the strong product is determined by the complexity of the the construction of the Cartesian skeleton, the new algorithms also improve the complexity of the prime factorizations of graphs with respect to the direct and the strong product. We indicate how these simplifications fit into the existing literature.",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/114,2,2,191,205,05C85;05C99
92,AMC,A partial generalization of the Livingstone-Wagner Theorem,10.26493/1855-3974.92.46f,CC BY 4.0,"For a transitive permutation group <em>G</em> on a finite set Ω, the Livingstone–Wagner Theorem states that if <em>G</em> is <em>k</em>-homogeneous then <em>G</em> is (<em>k</em> − 1)-transitive. It can be conjectured that the number of <em>G</em>-orbits on <em>k</em>-subsets of Ω is greater than or equal to the one on ordered (<em>k</em> − 1)-tuples of Ω, if |Ω| is sufficiently large. For the simplest case <em>k</em> = 3, we prove this by establishing a result on edge-colorings of complete digraphs.",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/92,2,2,207,215,20B20;20B35
115,AMC,Maximal core size in singular graphs,10.26493/1855-3974.115.891,CC BY 4.0,"A graph <em>G</em> is singular of nullity <em>η</em> if the nullspace of its adjacency matrix <strong>G</strong> has dimension <em>η</em>. Such a graph contains <em>η</em> cores determined by a basis for the nullspace of <strong>G</strong>. These are induced subgraphs of singular configurations, the latter occurring as induced subgraphs of <em>G</em>. We show that there exists a set of <em>η</em> distinct vertices representing the singular configurations. We also explore how the nullity controls the size of the singular substructures and characterize those graphs of maximal nullity containing a substructure reaching maximal size.",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/115,2,2,217,229,05C50;05C60;05B20
104,AMC,A note on quasi-robust cycle bases,10.26493/1855-3974.104.5b7,CC BY 4.0,"We investigate here some aspects of cycle bases of undirected graphs that allow the iterative construction of all elementary cycles. We introduce the concept of quasi-robust bases as a generalization of the notion of robust bases and demonstrate that a certain class of bases of the complete bipartite graphs <em>K</em><sub><em>m</em>,<em>n</em></sub> with <em>m</em>, <em>n</em> ≥ 5 is quasi-robust but not robust. We furthermore disprove a conjecture for cycle bases of Cartesian product graphs.",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/104,2,2,231,240,05C10
113,AMC,Enumeration of I-graphs: Burnside does it again,10.26493/1855-3974.113.3dc,CC BY 4.0,"We give explicit and efficiently computable formulas for the number of isomorphism classes of I-graphs, connected I-graphs, bipartite connected I-graphs, generalized Petersen graphs, and bipartite generalized Petersen graphs. The tool that we use is the well-known Cauchy-Frobenius-Burnside lemma.",2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/113,2,2,241,262,05A15;05C30
137,AMC,CoNE Revisited - Celebrating the Inspirations of Michael O. Albertson,NA,CC BY 4.0,NA,2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/137,2,2,NA,NA,NA
138,AMC,The Mathematics of Klee & Grünbaum - 100 Years in Seattle,NA,CC BY 4.0,NA,2009-09-06T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/138,2,2,NA,NA,NA
